pitcher,player_name,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,S_ERA
605309,Keone Kela,55,0.12727,0.12634,0.001801123,25,0.68,0.67986,0.005793204,25,0.28,0.30402,0.011044693,0.3318,0.45,0.003799623,1.653769786,4.2088
605335,Brandon Leibrandt,205,0.05854,0.12085,-0.039039197,105,0.72381,0.66415,0.026808742,85,0.17647,0.34383,-0.057728523,0.3433,0.1875,-0.02441187,1.357278953,3.7892
605347,Jorge Lopez,773,0.08538,0.10918,-0.020896174,411,0.64964,0.63856,0.000752747,186,0.22581,0.29726,-0.026634514,0.3392,0.3785,-0.002107094,0.687827672,4.4915
605359,Evan Marshall,525,0.14857,0.15219,0.000215712,217,0.63594,0.64438,-0.00773919,168,0.43452,0.45209,0.023766699,0.3221,0.2519,-0.008099173,11.33801349,2.7099
605388,Adam Morgan,284,0.1338,0.12137,0.008217656,124,0.6129,0.61234,-0.005908291,133,0.27068,0.27856,0.022856661,0.3299,0.4113,0.009994633,3.731101761,4.1608
605397,Joe Musgrove,846,0.14539,0.12279,0.020624938,416,0.60096,0.67474,-0.055523278,198,0.24747,0.33921,-0.029416283,0.3296,0.3019,0.003831938,2.946617059,3.369
605400,Aaron Nola,1583,0.13455,0.13185,0.005041581,705,0.60567,0.66031,-0.058253649,569,0.34622,0.3683,0.016713128,0.3289,0.2794,-0.005383497,5.348847216,2.9588
605441,Yacksel Rios,62,0.14516,0.09493,0.012175149,32,0.5625,0.61986,-0.013967066,19,0.21053,0.17795,0.006980664,0.3286,0.3029,-0.002584637,-1.722039732,3.7794
605446,Dereck Rodriguez,92,0.03261,0.10222,-0.023880989,51,0.70588,0.67184,0.007603816,24,0.08333,0.22907,-0.01859095,0.3463,0.5833,0.010468848,-4.480046003,5.7103
605447,Jordan Romano,227,0.20705,0.13178,0.043582488,105,0.6381,0.60988,0.004369528,77,0.35065,0.28725,0.040255218,0.337,0.2157,-0.006184751,3.958059747,2.4626
605479,Josh D. Smith,43,0.04651,0.06634,-0.007477098,19,0.42105,0.60511,-0.034830607,16,0.0625,0.1841,-0.014415106,0.3447,0.535,0.005073185,-5.763599672,4.8924
605482,Cy Sneed,416,0.11058,0.11462,-0.00155415,209,0.66507,0.68815,-0.003256839,138,0.23188,0.33808,-0.030937617,0.3413,0.3672,0.009922684,-0.125401165,4.7635
605483,Blake Snell,1622,0.14673,0.13176,0.018496294,679,0.65243,0.66987,-0.022743064,768,0.30339,0.30862,0.008252867,0.326,0.3164,0.003484799,3.564903147,3.4941
605488,Jeffrey Springs,550,0.16727,0.12463,0.033872939,277,0.68231,0.65955,0.002482207,194,0.26804,0.30115,-9.76E-05,0.3319,0.4038,0.020525794,2.303461498,4.3412
605498,Andrew Suarez,267,0.07116,0.10677,-0.015943722,112,0.73214,0.6674,0.040150594,126,0.1746,0.24657,-0.014406915,0.3301,0.377,-0.001362053,-0.966899374,4.7605
605501,Stephen Tarpley,220,0.07273,0.08154,-0.000768667,101,0.58416,0.65385,-0.029837291,79,0.22785,0.21599,0.025262011,0.3431,0.418,0.004391451,-5.406145415,4.6584
605513,Spencer Turnbull,1151,0.11208,0.11131,-0.002681755,538,0.68773,0.66441,0.020984749,379,0.21372,0.32408,-0.051351638,0.3368,0.3177,-0.01027845,0.884758722,3.7369
