pitcher,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,Season,S_ERA,player_name
430589,733,0.11733,0.11249,0.005206512,355,0.67606,0.65025,0.018088446,154,0.34127,0.3161,0.009526182,0.3329,0.2955,-0.00120173,1.400452367,2015,3.609,Chad Qualls
430589,534,0.09925,0.10841,-0.006266834,261,0.61686,0.60754,0.004666971,116,0.32234,0.27796,0.030192774,0.3326,0.3719,0.004654337,1.317488032,2016,4.343,Chad Qualls
430589,252,0.10317,0.09085,0.0061739,138,0.71739,0.64547,0.029906663,55,0.19298,0.26196,-0.022891685,0.3444,0.3438,-0.001338301,-2.237679663,2017,4.277,Chad Qualls
430599,1152,0.13021,0.11921,0.006968296,511,0.66145,0.63264,0.00709248,379,0.35569,0.30785,0.025441013,0.3208,0.2925,0.001711022,4.522677486,2015,3.431,Joe Blanton
430599,1278,0.14163,0.13215,0.011698983,587,0.65417,0.64639,0.002976311,266,0.32417,0.30165,0.015914132,0.3194,0.2527,-0.016824266,3.937442675,2016,2.585,Joe Blanton
430599,765,0.1268,0.12819,-0.002819433,392,0.70663,0.66498,0.021822997,189,0.27346,0.32181,-0.031895951,0.3393,0.3742,0.006993859,1.788948339,2017,4.591,Joe Blanton
430613,152,0.07895,0.08502,-0.001396108,71,0.6338,0.69594,-0.020133561,62,0.33333,0.29198,0.016292771,0.3333,0.2957,-0.00132642,-2.280196206,2015,3.838,Ronald Belisario
430630,543,0.08287,0.1065,-0.019731998,262,0.66031,0.67012,-0.010144408,186,0.24199,0.27781,-0.029243471,0.3304,0.3169,-0.001819687,-0.483886112,2015,4.187,Jason Frasor
430641,931,0.07734,0.09312,-0.01054582,497,0.65392,0.62216,0.016999448,249,0.29954,0.26329,0.013740492,0.3387,0.3058,-0.006540309,-1.181867688,2015,3.894,Blaine Boyer
430641,1051,0.0628,0.09592,-0.027387485,551,0.71143,0.63467,0.049434171,305,0.304,0.29187,0.0113569,0.3449,0.3405,-0.006091035,-1.644699864,2016,4.746,Blaine Boyer
430641,691,0.1042,0.10407,-0.001017141,355,0.71268,0.65337,0.034288355,221,0.28571,0.28426,0.004446463,0.3419,0.346,0.00113779,-1.168411508,2017,4.504,Blaine Boyer
430641,434,0.06452,0.11046,-0.03713518,219,0.72603,0.62658,0.044240716,126,0.20465,0.3023,-0.048832464,0.3424,0.4551,0.006419422,1.243355034,2018,5.4,Blaine Boyer
430661,473,0.10148,0.09968,0.003996383,225,0.66222,0.65212,0.00355361,143,0.24597,0.26053,-0.011217335,0.334,0.4356,0.008215926,-0.590921702,2015,4.288,Dustin McGowan
