"","Season","Name","Team","Age","PA","BB%","K%","BB/K","ISO","BABIP","SB","CS","Spd","wSB","GB/FB","GB%","LD%","FB%","IFFB%","SwStr%","Oppo%","Cent%","Pull%","Level","wRC.","PlayerId","SB_PA","Key","PlayerList"
"47",2021,"Brian Goodwin","CHW",30,95,0.09473684,0.32631579,0.29032258,0.15116279,0.34615385,2,2,3.37023422035337,-0.599974074400961,0.86363636,0.35185185,0.24074074,0.40740741,0.18181818,0.14742015,0.32727273,0.27272727,0.4,"AAA",89.8009994389789,"12858",0.0210526315789474,"12858CHWAAA","Brian Goodwin CHW-AAA"
"48",2021,"Alen Hanson","SEA",28,61,0.1147541,0.16393443,0.7,0.11320754,0.39534884,1,1,5.49398739586839,-0.361997917294502,1.26666667,0.45238095,0.19047619,0.35714286,0.06666667,0.08370044,0.34090909,0.22727273,0.43181818,"AAA",112.000686528388,"12926",0.0163934426229508,"12926SEAAAA","Alen Hanson SEA-AAA"
"49",2021,"Socrates Brito","NYY",28,309,0.07119741,0.23624595,0.30136986,0.1218638,0.29901961,12,3,5.55683246628229,0.719136457890272,0.89411765,0.36538462,0.22596154,0.40865385,0.27058824,0.12617221,0.32075472,0.25943396,0.41981132,"AAA",76.7907091766078,"12944",0.0388349514563107,"12944NYYAAA","Socrates Brito NYY-AAA"
"50",2021,"Charles Tilson","PHI",28,170,0.07058824,0.2,0.35294118,0.12162163,0.3826087,10,2,8.74473633869579,0.895407660864293,3.57894737,0.59649123,0.23684211,0.16666667,0.31578947,0.09268293,0.34453782,0.21848739,0.43697479,"AAA",111.757760172879,"12983",0.0588235294117647,"12983PHIAAA","Charles Tilson PHI-AAA"
"51",2021,"John Andreoli","SDP",31,118,0.16949153,0.33898305,0.5,0.19587629,0.31481481,6,3,7.3714103748784,-0.433238215744495,0.81818182,0.32727273,0.27272727,0.4,0.18181818,0.11742424,0.32758621,0.29310345,0.37931034,"AAA",87.7738914271993,"13012",0.0508474576271186,"13012SDPAAA","John Andreoli SDP-AAA"
"52",2021,"Mikie Mahtook","CHW",31,258,0.07751938,0.2751938,0.28169014,0.26839827,0.24489796,1,2,3.74241769363968,-0.904592365957796,1.08196721,0.40993789,0.21118012,0.37888199,0.18032787,0.13288719,0.25,0.25,0.5,"AAA",100.562440009481,"13130",0.00387596899224806,"13130CHWAAA","Mikie Mahtook CHW-AAA"
"53",2021,"Jose Briceno","COL",28,109,0.05504587,0.22018349,0.25,0.22222222,0.21917808,1,0,4.25454400670359,0.170893505215644,0.96875,0.4025974,0.18181818,0.41558442,0.1875,0.13138686,0.17721519,0.20253165,0.62025316,"AAA",56.1656151684909,"13151",0.00917431192660551,"13151COLAAA","Jose Briceno COL-AAA"
"54",2021,"Marco Hernandez","CHW",28,293,0.03071672,0.16040956,0.19148936,0.12363636,0.30131004,1,2,3.58048435305927,-0.974337891675531,1.38461538,0.46753247,0.19480519,0.33766234,0.30769231,0.13294233,0.30769231,0.25213675,0.44017094,"AAA",77.0453221057302,"13154",0.00341296928327645,"13154CHWAAA","Marco Hernandez CHW-AAA"
"55",2021,"Nicky Delmonico","CIN",28,77,0.11688312,0.2987013,0.39130435,0.1617647,0.30232558,0,0,0.938311705357143,-0.0741046210750937,0.89473684,0.37777778,0.2,0.42222222,0.15789474,0.10942249,0.28888889,0.24444444,0.46666667,"AAA",86.0270123571674,"13157",0,"13157CINAAA","Nicky Delmonico CIN-AAA"
"56",2021,"Blake Swihart","WSN",29,175,0.12571429,0.25142857,0.5,0.125,0.23809524,2,2,4.11451808964361,-0.678437790833413,0.79545455,0.32407407,0.26851852,0.40740741,0.34090909,0.11782032,0.35185185,0.24074074,0.40740741,"AAA",64.780392356969,"13176",0.0114285714285714,"13176WSNAAA","Blake Swihart WSN-AAA"
"57",2021,"Orlando Arcia","ATL",26,269,0.10037175,0.11895911,0.84375,0.25104602,0.28497409,5,2,3.99640231551341,-0.20921064261347,0.96470588,0.39423077,0.19711538,0.40865385,0.25882353,0.09509804,0.32057416,0.22488038,0.45454545,"AAA",140.205327839857,"13185",0.0185873605947955,"13185ATLAAA","Orlando Arcia ATL-AAA"
