batter,Season,Pitches,Whiff,xWhiff,In_Whiff,OOZ.Swing,OOZ.xSwing,OOZ,IZ.Swing,IZ.xSwing,IZ,wOBA,xwOBA,In_wOBA,xwOBA_Swing,xwOBA_Take,SAE,Name
465753,2017,192,0.10938,0.10933,-0.00761085679846882,0.23611,0.31785,-0.0574701344851575,0.67347,0.68333,-0.00449686530059508,0.3856,0.3443,0.0402895878364324,0.3765,0.3159,109.35,Pedro Florimon
465753,2018,345,0.13913,0.09557,0.0169548978812725,0.20325,0.31942,-0.0896434724956172,0.66667,0.68542,-0.0117998712570101,0.3132,0.3461,0.0259543335733234,0.3835,0.3152,110.81,Pedro Florimon
465784,2015,406,0.10837,0.10356,-0.00282882489852448,0.25175,0.27973,-0.0388735522886929,0.65072,0.67301,-0.00798077391012046,0.2181,0.3421,-0.0495431342463383,0.3713,0.3158,108.54,Everth Cabrera
466320,2015,2559,0.05588,0.09966,-0.0518214183604604,0.29618,0.2863,-0.0106035734505501,0.61854,0.64358,-0.0104930295620838,0.3164,0.335,-0.0065886920527635,0.3596,0.3134,107.34,Melky Cabrera
466320,2016,2343,0.06103,0.10171,-0.0484304355433728,0.30851,0.28893,0.00694638802949971,0.6676,0.65399,0.0269365651044628,0.3475,0.3348,0.00346720806269977,0.3614,0.3093,107.95,Melky Cabrera
466320,2017,2358,0.05216,0.09964,-0.0579360132358291,0.31965,0.29562,0.0272429006668195,0.63254,0.64681,-0.00929668820642075,0.3408,0.3367,-0.00505158061627024,0.3655,0.3121,108.55,Melky Cabrera
466320,2018,1015,0.07291,0.10139,-0.0373421740497257,0.29199,0.26567,0.0302312658480962,0.65652,0.63381,0.0325094048101479,0.3394,0.3319,-0.00469060320594358,0.3612,0.30620000000000003,108.83,Melky Cabrera
466320,2019,1329,0.06847,0.10976,-0.0587278596102091,0.33002,0.304,0.030778707122713,0.72097,0.64616,0.0884309913436828,0.3251,0.3368,-0.0255027289239431,0.3655,0.3058,108.52,Melky Cabrera
466988,2015,310,0.10645,0.09519,-0.00751026444452471,0.22826,0.32718,-0.0971991617200226,0.59412,0.64197,-0.0325726116718893,0.1747,0.3455,-0.0344286353498396,0.3723,0.3248,107.76,Emilio Bonifacio
466988,2016,152,0.13816,0.10546,0.0107823830782958,0.30769,0.34421,-0.0327587233008057,0.63636,0.63021,0.0204506200384535,0.2727,0.3417,0.00180633552829354,0.3571,0.3264,104.51,Emilio Bonifacio
467055,2015,1837,0.10289,0.10099,-0.00796230865911248,0.46454,0.28848,0.147846108567287,0.74362,0.64396,0.106762942419382,0.2985,0.3292,-0.00537094220991841,0.352,0.297,106.93,Pablo Sandoval
467055,2017,1088,0.12868,0.10594,0.00883418115318053,0.423,0.31185,0.104721407258709,0.78402,0.65121,0.132334786732017,0.2775,0.3253,-0.016260728703948,0.354,0.2861,108.82,Pablo Sandoval
467055,2018,1055,0.09858,0.10417,-0.0235551698305578,0.33784,0.3093,0.03330432964935,0.63931,0.6618,-0.0154456593246431,0.3243,0.3311,0.0237090177405194,0.3562,0.308,107.58,Pablo Sandoval
